country,value
ARG,21.44853202949891
AUS,607.7008650187726
AUT,-297.7624110532472
BEL,-314.6057981486253
BGR,-60.78440622737684
BRA,1875.4663359322774
BRN,60.132175854663444
CAN,609.8503056862729
CHE,-648.812560668053
CHL,-277.4647279063643
CHN,-5665.167381537357
COL,225.5113785475096
CRI,-18.938661842045434
CYP,5.3364046524256965
CZE,-192.3706459287641
DEU,-2654.3560754140008
DNK,-168.05534691386046
ESP,-842.5287801463248
EST,12.40248263007528
FIN,-106.95228799631191
FRA,-459.8525856288474
GBR,112.9437838558893
GRC,-171.6001281699606
HRV,-1.9067524642008808
HUN,-64.9747098823799
IDN,1173.2275282452808
IND,545.0367078010252
IRL,-584.6100922358032
ISL,-9.904112876343817
ISR,-149.74371064957006
ITA,-1324.6575776664629
JPN,-1587.6026163060035
KAZ,401.3967547495674
KHM,135.0270137363268
KOR,-2167.4079756746814
LAO,91.68523455595138
LTU,-27.204107359171193
LVA,-4.80276458036847
MAR,49.05187747216308
MEX,541.6060812480845
MLT,-14.58512587785957
MMR,195.96071274058423
NLD,-827.9271924850419
NOR,25.31507209167681
NZL,-56.44924852070532
PER,45.71213628351453
PHL,234.53094462750738
POL,-176.9469263265421
PRT,-107.243326171051
ROU,-10.324331276996801
ROW,8858.722981419925
RUS,2585.9294077283603
SAU,2140.494198726111
SGP,-803.2869402590014
SVK,-61.22768443444968
SVN,-22.777204174502334
SWE,-212.054153983719
THA,-567.0071270696357
TUN,8.094972091730623
TUR,-146.8658071883655
TWN,-978.8537096768483
USA,862.313386853012
VNM,-112.86398710715088
ZAF,475.58170724742894
